tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
222,Antwerpen Open,1708,Hobo Roel,1834,v/d Biggelaar Nicky,20,28,f5f6e6f4g5e7d7g6g4h5e3h4e8c8f7f8g8c5f3g3h3d6h6d3c3d2c1b3a3e2f1f2e1b2h7d1c2g2b5c4b4c6a2d8b8g1h1a6c7h2a4h8g7a8b7b6a1b1a7a5
222,Antwerpen Open,1834,v/d Biggelaar Nicky,1971,Schotte Tom,50,49,f5f6e6f4g6c5f3g4e3g5h3h4h5e7d6f7d7c6f8d8e8g8g3e2d1f2e1h7d2d3c3g1c4b3a3b2b5b6c2a5f1c1a1h2c8b8h6c7h8b4a4g2a8g7b7a2b1a6a7h1
222,Antwerpen Open,2004,Fransen Martin,1971,Schotte Tom,39,44,f5f6e6f4g5e7f7d6e8h6h4g6f3h5h7e3c3d3e2g3g4h3h2e1d7b3c7c6b6d8c8g8c4c5b4f2d2d1f8b8c2a3b5a5a6a4a2b7c1b1g1b2a1f1a8a7h8g7g2h1
222,Antwerpen Open,1999,Aubroeck Patrick,1708,Hobo Roel,38,36,f5d6c4d3e6b4c6f4b3b5c3c2g3a3e3f3e2f1f2h3e1d1d2e7b1c5b6c7d7g1a4a6a5d8f8e8f6b7c8b8f7g6g5g7h7h4g4h6h5h8g8c1h1b2a8a7h2g2a2a1
222,Antwerpen Open,1708,Hobo Roel,1993,van den Berg Erwin,43,35,f5d6c3d3c4f4f6f3g4g3e6b3f2e3e2c5c6f1d1g6h3e1g1h5d2e7h6g5h4c2f7f8d8e8c7d7c8g7a3b2b4h7g2b6a6b7h8g8a7a4a1a2a5b5b1c1h1h2a8b8
222,Antwerpen Open,1971,Schotte Tom,1708,Hobo Roel,41,39,f5f6e6f4g4g6g5e7f3d6f7h3g3f8d7h5e8d8c7c5c3b6c4d3e3h4c6b5b4a3a5c2d2a4a2b3a6c1f2e2g2e1g1f1h1h2b2b7a8a7d1a1b1h6h7h8g7g8c8b8
222,Antwerpen Open,1436,de Graaf Jan C.,1708,Hobo Roel,18,26,f5d6c3d3c4f4c5b3c2e6c6f6c7b5e7d2e3b4d1e2g3f2f3f1g4e1c1b1b6d7f7c8a4a3a6g5e8g6d8f8h5b8h7h6g8h8g7h3h4a7a8b7g1h1h2g2b2a1a2a5
222,Antwerpen Open,1708,Hobo Roel,1591,Ilbrink Jarl,59,55,f5f6e6f4g6d6g4e7f3g5f7e3d8e8f8h6d7f2h4g7c6h5g3h3h8b6c7b8c5c4b5b7b4a5a4a6c8c3a8a3d3e2a7g8b3c2a2c1b2d2b1e1f1d1a1g2g1h1h2h7
222,Antwerpen Open,1708,Hobo Roel,2757,Van Damme Jan,40,33,f5f4e3d6f3e2d2f2d3c2e1g4e6g5f1f6g6d1c1c3h3h4h5h7c5c6b1g2g3h2c7h6c4b6d7e7f8e8d8c8b8b5b4a3a6a5b7a8a7g8a4b2b3a1a2g1f7g7h8h1
222,Antwerpen Open,1971,Schotte Tom,1436,de Graaf Jan C.,23,27,f5f6e6f4g4e7f7g5f3g3h4d6h3e3e8h6g6h5h7f2f1g1e1d1c7d7c8d8c6c5d3b6a6c3f8e2b5c4b4g7h8g8c2d2b7b3b1a3a4a8b2b8a7a5c1a1a2h2h1g2
222,Antwerpen Open,1971,Schotte Tom,1591,Ilbrink Jarl,48,41,f5f6e6f4g4e7f7d6f3g5c7f8h5g6d8h3h6c5g3h4h2d7c8g7e8f2c6b6e1h7h8g8a6b7a7a8b8a5e2g2d3c4h1e3d2d1c1c2b2f1g1a2b1c3a1b3a3b4a4b5
222,Antwerpen Open,2052,Sneek Marcel,1971,Schotte Tom,14,14,f5f6e6f4e3c5c6d6g4d3f3c4c2d2e2e1b4b5c3g3a4f2f1g1h3d1c1b1g5h5c7h6d7g6h4h2f7f8g8e8d8e7g2b3a2b6b7g7b2a1h7h8c8b8a8a7a6a5a3h1
116,Australian National,2887,William Joanna,1728,Vinar Matt,28,41,f5d6c3d3c4f4c5b3c2e3d2c6b4a3b6f3d7c7f6e6b5e7a5a6a4g4c8e2f8e8d8g6f7d1f1b7e1g1g7c1b2b1a1a2h1h8b8f2h4g5g8h7h6h5g3h3h2g2a7a8
116,Australian National,1728,Vinar Matt,2887,William Joanna,32,33,f5f6e6f4e3d6c4f3g3b3g4c3c7d3c5d7b4c6b5c8e7b6d2f8g5f7a4e2e8g6d8a5e1h4h6h5h3b7h7g7c2a3a8b8a7a6h8g8a2d1c1f1g1f2b2a1b1h1g2h2
116,Australian National,2405,Hughes Scott,1728,Vinar Matt,17,32,f5d6c5f4e3c6d7c4e6c7d3f6e7c3b6b5b3b4a4f2f3c8e8c2d2a3a5a6f1g3e2f8g8f7h3d1e1d8b8c1b1h2h4h5b7b2g6g5g4h6g7h7a2a1g1g2h1a8a7h8
116,Australian National,1564,Wong Alexis,1728,Vinar Matt,6,14,f5d6c5f4e3c6d3f6e6d7e7c7c4f3d8c8g4g3g5h5h4h3g6h6b6e8f8g8f7b8g7a6a7a8b7a5b5a4b4a3f2f1g1h1b3b2a2a1b1e1g2c1e2d1d2c3c2h2h7
116,Australian National,2962,Clavijo Juan,1728,Vinar Matt,5,2,f5d6c4d3c7f4d2e6f3e3f7c3e2d1c5f6g6b4b5c6b3d7b6e7e8d8c8a6c1b1a5a4b7a3c2b2a2e1h7h5a8a7a1g4b8f8g7g8h3h4h6g5g2g3h8g1h2h1f2f1
116,Australian National,1728,Vinar Matt,2966,Cairns Josh,54,58,f5f4e3f6d3c4f3c2c3e2d2c5f1d1e6f2g5e7g3g4g6h3h4h5c1b3e1h6b1b2g1g2h1h2h7g7a2a1a3a4g8h8f8e8b4f7d6d8c8
116,Australian National,2887,William Joanna,2351,Fu Amy,46,41,f5f6e6f4e3c5g5f3g6e7g3d2d3e2c6d6c3c4d7c2c7g4h3h6h5d8c8b8b4b5a4a5a6b6f7e8a7h4f8h2a8b7g7h8h7g8b3a2e1c1a3f2g1b2a1f1h1d1b1g2
116,Australian National,2351,Fu Amy,2405,Hughes Scott,29,31,f5d6c4g5f6f4f3d3c3g6e3g3e6f2g4h5d7f7h6h7f8b4c5e7b5c6e8a4a3a2a6c8f1e2e1d2c2d8b8b6c7c1a7b3h3d1h2h4h8g1b2g8g2a5a1h1g7b1a8b7
116,Australian National,1733,Cairns Phil,2405,Hughes Scott,28,36,f5f6e6f4e3d6c4e2f2d2g4g5e1f3c2g3h3f1g1b4h5h4g6h6h7c1c3b2d3g7e7b1h8d7f7e8c8d8c5c6b5a4b3d1a1g2a3a5c7b8b6b7h2h1a6a2a7a8g8f8
116,Australian National,2405,Hughes Scott,1233,Hubbard Paul,41,48,f5d6c5f4e3d3e6g5c4c3c6b4d2d7b5b3a4e2f3e1g4c2f1h4c1f2d1a5a3e7b6a2d8e8c7c8a6a7g3h3b2g2a1b1a8f6f7g7h6h5h2h1g1h7g6h8f8g8b8b7
116,Australian National,2405,Hughes Scott,2091,Stoevring Pia,47,46,f5d6c5f4e3c3e6b6f3g4c6d2e2g5f6g3h6d3b5e1c4e7d7h5a6c8f7h7f8e8c2g6d1c7f1a4a5a7d8b4b8b3g8b1a3a2c1g1g7b7a8a1b2g2h2f2h8h1h4h3
116,Australian National,200,Hubbard Geoff,2351,Fu Amy,16,34,f5d6c3d3c4f4f6g5e6c5f3f7e7b5f8e3g4d8h6g6h5g3f2e1f1g1e2b3h2g8e8g7c2d1b1d7h8d2a3h3c7h7h4g2c8h1a6a5a4c6b4c1b6a1b2a2a7b7b8a8
116,Australian National,2964,Li Simon,2351,Fu Amy,10,4,f5d6c7f4c5e6f7f6e3d7d8d3e7c3f3g4h3c6b6e2e1d2d1e8f8f2f1c4b4b8c8g8g7h8h7h6g6h5g5g3a6a7a8b7c2b2b5a4a5b3a3a2a1b1h4c1g1g2h2h1
116,Australian National,1733,Cairns Phil,200,Hubbard Geoff,41,39,f5d6c5f4d3e3g4g5e2c4f3d2f2c3b4e1e6a4d1c1f6b6b3c6a5a6g3a3c2e7b5b1g6f1b2h5h4h6f7h3h2f8h7a1a2g2d8d7c8c7b8g7h8g8e8b7g1h1a7a8
116,Australian National,2963,Tobias Nicholas,1564,Wong Alexis,42,37,f5d6c3d3c4f4c5f6e3b5e6d2f3b3b4d7c6e2f2c2a5g3e1f1c1a6b6c7a3d1e7d8b8b1f8c8e8b7f7a4g6a2g5b2a1h5g1h7g4g2h6h4h3g8h8g7a7a8h2h1
116,Australian National,1564,Wong Alexis,1233,Hubbard Paul,40,48,f5d6c5f4e3d3e6d2c4b5c3b3f3b6d1c1b1e7c2b4c6e2e1g6d7g5f8d8c7f6a6a5f1c8a4a3a2g3g4h4h3f2h5g2a7h6h7b7e8f7h1h2a8b8g7h8g8b2g1a1
116,Australian National,2091,Stoevring Pia,1564,Wong Alexis,7,32,f5d6c3d3c4f4c5b4b5c6e3f3b6a5g4c2a4d2f2a3a6b3e2c7a2f6a7e1c8g6e7g5e6f1h5d7g3f8h6h3d8e8c1b8d1f7g1b2g7h4h2g8b1a1h7h8a8b7g2h1
116,Australian National,1233,Hubbard Paul,2963,Tobias Nicholas,30,24,f5d6c3d3c4f4c5b3c2e3d2c6b4a3b5a4a5a6e7b6g4f3e6d7f2e2d1c1c8f7c7f8e8d8g8e1b8f6g5g6h5h7a2a1h6h4h3h2g3b7f1b2a8a7b1g1g2h1g7h8
116,Australian National,200,Hubbard Geoff,2963,Tobias Nicholas,25,27,f5d6c3d3c4f4f6g5e6c5f3e3g4b5e2d2f2h4h3h2h6f1c1d1e1b1c2g1b3b4a4a5a6g3b6c6c7c8d7d8g2a2a3a7b7f7g8f8e8h8e7g7h7h5g6h1b2a1b8a8
116,Australian National,2966,Cairns Josh,1233,Hubbard Paul,16,17,f5f6e6f4e3d3f3d2c3c2g4c4d1e1f1e2b5g3b4f2h3h5f7g5c1c5h6h4d6b3a3f8g6a6e8d8b6a4a5a2b2a7c6e7d7a1b1c7b7a8b8c8g1g2g7h8h2h1h7g8
116,Australian National,1233,Hubbard Paul,2964,Li Simon,63,64,f5f6e6f4g5c6f3h5d6g2g6g4e3d2h3h4h6d7e7h7h8d3g3f7g7g8f8e8c2b2c4c5e2c3d8d1b5a6h2b7c7b6h1c8b8e1f1a5a4a8f2a1b4g1a2b3a3a7b1c1
116,Australian National,2965,Hashimoto Shizuko,200,Hubbard Geoff,13,24,f5d6c6f4d7c5b4b6c4b5e6c3d3b3g4e2d2e1f6c7f1e8c8g1a5a4a6f2c2d1b1a7a2e3f3g3g5h4h5h6g6h7b7h3h2h1g2a8b8a3b2a1g7d8e7g8h8c1f8f7
116,Australian National,200,Hubbard Geoff,2091,Stoevring Pia,38,30,f5d6c3d3c4f4f6f3e6e7d7b5c5c6d2b3b4d8e3a4c7g4g5d1c2e2f8e8c8g3f7b6a6h6h4g6g2c1f2h3h5h1e1g7h2g1f1g8a5b2a3a2h8h7a1b1b8a8b7a7
278,Barrage Nederland,1775,van Heere Mark,1436,de Graaf Jan C.,12,33,f5d6c5f4e3c6d7f6e6d3f3c3c4d2g5e7g6e8g4c7b6a5a6b4b5a4a3b3a2g3f2h3e2c2h5f7e1d1c1h7f8b7d8b8h6h4a8c8g2h2h1g1f1b1b2a1a7g7g8h8
278,Barrage Nederland,1436,de Graaf Jan C.,1775,van Heere Mark,12,26,f5f6e6f4e3c5g5f3g6d7d3e2c3d6g4g3e7e8f2h3f1c4h5f7h4h6f8h2g7g2b6b5a6b4a5a3c8c6b3c2h1h8g8h7d2b2d1b1b7a8d8b8a1c7c1a7g1a4e1a2
278,Barrage Nederland,1775,van Heere Mark,1708,Hobo Roel,47,32,f5d6c4d3c3f4c5b3c2e6b4f6c6b6g3b5a3e3d2f3a6f2g4g5e1h4e2f1a7h3c7d1c1b1h6a5a4b2d7e7e8b7g6h5h2g2a8f7f8d8g7h8h1h7g8b8g1a1a2c8
278,Barrage Nederland,1708,Hobo Roel,1775,van Heere Mark,34,34,f5f6e6f4g5e7f7d6f3g4e3d7g6h5h6h4h3g3d8d2c8f8c5c4c7c6h2f2c1d3f1g2e2e1d1g7b4c3b3a4h8h7h1g1b6a3a5a6b5c2b2a2g8e8b7a7a8b8a1b1
278,Barrage Nederland,1775,van Heere Mark,2004,Fransen Martin,53,49,f5d6c5f4e3c6d7c3e6f3c4d3g4b6b4b5b3a4a5a6a3a2c7h4e2e7g5g3f2f6d2c1d1f1e1g6c2b2f8b7f7d8e8g8c8b8a8a7a1h8b1g2g1h2h3h5g7h7h6h1
278,Barrage Nederland,2004,Fransen Martin,1775,van Heere Mark,27,31,f5f6e6f4e3c5g5f3g6d7d6e7g3d2d3e2c3c4c2f2g4f7f1e1c1d1d8f8b6b5a6b3g2h1g1h2h3h4h6h5e8c8g8h8h7g7b4a4c6a5c7a7a3a2b7b2a1b1a8b8
278,Barrage Nederland,1436,de Graaf Jan C.,1708,Hobo Roel,22,39,f5d6c3d3c4f4c5b3c2e6c6f6b4b6g3b5a3e3f3d2c1e1e2g4h5f1f2g2g5d1a4a5a6b1h1h6h7b2a1a2g1h4g7g6e7f7f8h8g8e8c7c8d8d7b7h3b8a8a7h2
278,Barrage Nederland,1708,Hobo Roel,1436,de Graaf Jan C.,31,28,f5d6c3d3c4f4f6f3g4g5e3e2d2h3f1g3h6h5f2e7c6b6e6d7g6f7g7c5h4e1d1g2b5g1c8d8e8f8g8c7a6h8h7b8b7a4a5a8a7b3b4c2c1a3h1h2a2a1b2b1
278,Barrage Nederland,1436,de Graaf Jan C.,2004,Fransen Martin,37,45,f5d6c3d3c4f4e6f6e3c5c6b5d7c7e7f8e8d8g3f3g4g5h6h4f7g6h5h7a6a4b6h3f2e1a5a7d2c1e2b4b7c2d1f1g2a8g1h1h2b3a3h8b1g7g8a1b2a2c8b8
278,Barrage Nederland,2004,Fransen Martin,1436,de Graaf Jan C.,14,17,f5f6e6f4e3c5c4e7c6e2f3f2g4g5h5d6e8c3d3h6h7d2h4b3b4a4c2b5a5a3a2c7e1b6a6f1d1g6f7h3h2g3g1d7g2b7a8a7b8a1c8d8b1b2h1h8c1g7f8g8
278,Barrage Nederland,1708,Hobo Roel,2004,Fransen Martin,26,26,f5d6c3d3c4f4f6f3g4g5e3h3e6g3g6f7h4h5c7c5b4c2d2e7f2d7h6h7c6b6e8b5c8a3c1f8d8g7h8g8h2b3b7a7a6a5a4d1a8b8a2e2f1b1e1g1b2a1g2h1
278,Barrage Nederland,2004,Fransen Martin,1708,Hobo Roel,19,34,f5d6c5f4e3c6d3f6e6d7g4g3g5h4h2c3h6c4f7g7e7f8e8h5h3g6c8d8b4f2b5f3h8c2e2b6c7a3a5a4b7a6a7h7b3b8g8a8g2g1f1h1c1e1d1a2d2b1b2a1
22,British Nationals,82,Plowman Guy,25,Feinstein Joel,46,40,f5f6e6f4g6c5g4g5h4h6e3e7c6d7c8d6f3d2e2d8b5c4c7b4g3a5c1h2b6f2f8f7h3h5e8a6f1d1d3c2e1c3a4g1h1g2a7b8a8b7h7g7h8g8b1b2a2a1b3a3
22,British Nationals,25,Feinstein Joel,82,Plowman Guy,35,30,f5f6e6f4g6d6e3f3g4d3g3h5h3g5f2h4e2h2c7d2c6c5b6c4c1b5c2c3a5a6a7c8b3b4a4d1f1b1b7a3e1g1h6h7d7d8g7a8b8b2a1a2h1h8f7g8e7f8e8g2
22,British Nationals,2404,Hand David,25,Feinstein Joel,33,34,f5f6e6f4e3d6c4f3g3c3c5c6g4d3e7f7g5f8d7e8c7e2b5b6c8g6d8g7a5f2d2e1c1d1b4b3h8g8b7a4c2h4a6h5f1a8h6h7h3b8a7h2h1b2g2g1a2a1b1a3
22,British Nationals,25,Feinstein Joel,22,Leader Imre,33,36,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2e2f1c8f3c7d8e8h3b6b5a5g4c1h5h6f8h4b8b4h7h2h1g6a3a4b3a2a7b2d1g2c2b1a6a8b7g7a1g8h8g1e1
22,British Nationals,153,Barrass Iain,25,Feinstein Joel,30,20,f5f6e6f4g6c5g4g5f3e3c4g3h5h6h7f7h4d6d2e2c7c6d3b3b4c3d1f2b5c1f1h3h2e1f8g1c2c8b7a4a5a3b2d7a2a8a6g7b6a7h8g8e8e7g2h1d8b8a1b1
22,British Nationals,25,Feinstein Joel,340,Das Jeremy,45,37,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7g6e7d2c8f2e2e8f8g8h6f1c1d1b5b6b4a6a5h4e1b1c2c7f3g4b3a3a4b2a1a2g1h5b7a8a7d8h8h7h3b8g7h2g2h1
22,British Nationals,168,Arnold Roy,25,Feinstein Joel,21,5,f5f6e6f4e3d6e7d3c4c5g4f7b5c3g5f8d8f2c7e8e2c8d7h3g6h6h4h5g1g3b3f3g2b7g8h8h7g7a7c6b8a8b6a6a5d2e1a4b4f1c2a3b2a1b1c1d1a2h2h1
22,British Nationals,547,Stanton Robert,25,Feinstein Joel,10,10,f5f6e6f4e3d6e7d3c4c5b6c3c6f3d2b5a6f7b3b4a3e8f8g8e2d8g4c2c1d1e1a4a5b2g7h8g6h5a1g5h7h6f2g3h4h3h2g2h1g1d7c7f1c8b8b1a2b7a7a8
22,British Nationals,25,Feinstein Joel,1921,Campbell Yvette,41,43,f5d6c5f6e6f4c6b5b4f7d3c3e3f3b6c4g5g6b3h5c2c7c8a5a4a3f2a6e7c1g4f8e8d7d8b8g3h4h3f1e2d1d2e1b2a1b7a8a7h2h7g7h8g8a2h6b1h1g1g2
22,British Nationals,2845,Hall Steve,25,Feinstein Joel,13,20,f5f6e6f4g5d6c5c4d7e7f8g4g6h5f3g3h3h4h6e2f2e3c6b5d1f1d2d3c2c3b3b4a6a5e1c7c8c1a3a7b6g1g2f7g8b2b1a1a2h1h2h7g7h8e8d8b8b7a8a4
22,British Nationals,2404,Hand David,82,Plowman Guy,28,23,f5d6c3d3c4f4f6g5e6d7f7c5f3e3g4e7c2d2h6f8e8g6c8h5h4b5e2b3h7g3f2d8b4g2c7h3g7h8g8c6a6a5b6b8b7a3a4g1f1e1d1b1c1a2a1b2h2h1a7a8
22,British Nationals,22,Leader Imre,82,Plowman Guy,31,27,f5d6c3d3c4f4f6g5e3f3g6e2h5c5g4g3f2d2h4h3h2b5e6e7d1c2c1f1b1g1b3f7d7c6b4a4a6b6d8f8c7e8a3a2g8c8b8h7h6h1a7b7e1a1a8a5b2g2g7h8
22,British Nationals,340,Das Jeremy,82,Plowman Guy,8,26,f5d6c3d3c4f4f6f3e3b4b5e6e7g5c5d7g4f8e8h3g3f2c8f7h5e2d2d8g8c6b6g6d1h4h2b3h6a6a2a7a5b7c7a4g1e1f1a3c1a1c2b1a8h1b2b8g2h8g7h7
22,British Nationals,82,Plowman Guy,2845,Hall Steve,46,43,f5f6e6f4g6d6e3d3g4g5f3e2c5c6c4e7c2h6d2h3h4h5g3c1e1b5a6a4b6b3d1b4d7c8a5a7d8f1c3e8c7b8f2g1b2h2g7f7f8g8h8h7a8a1b1a2b7g2h1a3
22,British Nationals,22,Leader Imre,2404,Hand David,34,33,f5d6c5f4e3c6d3e2f3c3c4d2e6f2b3b5b4b6c2a4d7c1e1f1d1a3b2e7c7g4g5g3h3h4h5c8f8d8h2g6f6h6g2h1g1a2a6e8a5g8f7g7a1b1h8h7b8a7a8b7
22,British Nationals,153,Barrass Iain,2404,Hand David,13,16,f5d6c4d3c5f4d7f6d2c3c2c6c7b4b5b3a4a5a6a2a3a7e3f3e2b6g4e6e7f7g6f8e8c8g8g3h3g5h4d1b1d8b8c1e1g7b7h5h6h8h7a8b2g2h2h1f2a1g1f1
22,British Nationals,340,Das Jeremy,2404,Hand David,23,26,f5d6c3d3c4f4c5b4c6e6d2b5b6b3a6a5a3e3f2a7d7e7g5g3h4f6f3h5a4a2c7e8h6g4f8g6d8h2h7c8b8f7b7c2g8f1g2d1e1e2h1h3g1a8b1c1b2a1h8g7
22,British Nationals,168,Arnold Roy,2404,Hand David,23,20,f5d6c5f4e3c6e6f7d7c7f6e7b6b4c4g6f3a6d8e8g5c8a3d3f8g8h6b3b7b5a7c3c2a5a2g4h5h3g3h2a4h7h8g7g2h1e2d2f2g1f1h4c1e1d1b1b8a8b2a1
22,British Nationals,2404,Hand David,547,Stanton Robert,34,47,f5d6c3d3c4f4f6f3e6e7d7c6c5e8d2c7e3e2f7g4f8c1b6a6d8c8b5g8g5h6h5g6h7a5a4a3b4c2b2b3e1d1b1f2g3h4h3g1f1a1b7g2h2a7a8b8h8g7a2h1
22,British Nationals,2404,Hand David,2701,Lightman Marie,51,44,f5d6c3d3c4f4f6g5e6c5f3e7e3g4g6g3h6h5h3h7b6b5a6b4a5a3f7e8f8f2d2d1c2e2d8c1d7g7h4g2c6c8c7b8a8g8h1g1h2b7f1b3h8e1a7a4a2b2b1a1
22,British Nationals,2404,Hand David,2845,Hall Steve,58,47,f5f6e6f4e3c5c4d6c6b5e7d7f7f3c8f8e8b3b4c3d3c2d2f2e2c1d1a3a6a5b6d8g8b7c7e1b2a1a4g7g5g6h8h6a8b8a7h7g4g3h5h4a2h3h2g1f1h1b1g2
22,British Nationals,153,Barrass Iain,22,Leader Imre,34,29,f5d6c4d3c5f4d7g5d2c7e7c6b5d8c8b8e8f8e6d1e2f6e3b6g4h3h5g3h4a4a6b4a5a7f2c3h2f3c1e1f1c2b3a3g6b2f7g7a2a1b1g2h6h7h8g8a8g1h1b7
22,British Nationals,22,Leader Imre,340,Das Jeremy,48,49,f5d6c3d3c4f4f6g5e3f3g6e2h5c5g4d2f2g3h4h6h7f1d1e1g1b5e6f7b4a4f8b3e7e8d8g7c1c2c7c6d7h3h2g2h1c8b8g8h8b7a8a7a6b6a3a2a5b2b1a1
22,British Nationals,22,Leader Imre,547,Stanton Robert,45,54,f5d6c3d3c4f4f6b4f3e6e3g5g6g4h4h5h6f7g3h3h2f2e8g8e2f1d2b3d1c2c1g2a5b2f8d8e7e1h1a4g1a6a1b1a2a3a7g7d7c6b5c5b7b6c8c7h8h7b8a8
22,British Nationals,2701,Lightman Marie,22,Leader Imre,11,32,f5d6c5f4e3c6e6f7d7e8c8f6b5c3d3c4f3c2d2d8b3b8g4b6c7h3a5g3e7a6g8g6d1a4g5h4h6h5h2b4h7g2e2f2e1g1f1h1a7a8a3b7f8a2b2a1b1c1h8g7
22,British Nationals,2845,Hall Steve,22,Leader Imre,14,8,f5d6c4d3c3f4f6f3e3b4b5e6c5c6g4g5h6g6a3h4h5h7f7e7e8f8g8a5a6a7c7d7d8h3f2b6g7g3g2b8b7e2b3h8e1a8a4a2c2c8b2b1a1h2c1h1g1f1d1d2
22,British Nationals,340,Das Jeremy,153,Barrass Iain,37,40,f5d6c3f4f6d3f3b3c6b6d7e6e7g3c4b5c5c7b4f2e2e3g4e1h3d8d2h5a5a6h4h2c2a4g5c1d1f1g2h1g1h6a3a2b2a1b1g6f7g8c8f8e8b8b7g7h8h7a8a7
22,British Nationals,168,Arnold Roy,340,Das Jeremy,20,22,f5d6c5f4e3c6e6f6d7c7e7c8d8f3b5b6g4c4g5e8a6f8d3a4b4a3b3c2b1d1e2f7b7g6c3a8h6a7b2h4g7a5d2a2h3g3f2a1g2c1h5e1g8f1g1h8b8h7h2h1
22,British Nationals,340,Das Jeremy,547,Stanton Robert,56,34,f5d6c3d3c4f4e3g5f6f3g4h3e6g3g6c5h5e7h4f7b6b5a6e2h2d2c2b4b3a4a5a7c6d7c7a3b2d1b1c8f8h6h7a1c1f2a2e1a8g7h8g8e8b7b8d8g2g1f1h1
22,British Nationals,1921,Campbell Yvette,340,Das Jeremy,6,18,f5d6c3d3c4f4c5b3f3b5e7c6d2e3e2e6c2f6a3g5h4g4h5g6d7h6h7f7g3f2b4f1d1e1g1a4a6a5b6b2g8b1a2a1c1h1h2g2h3h8g7a7b7f8e8d8c8b8a8c7
22,British Nationals,2845,Hall Steve,168,Arnold Roy,26,25,f5d6c4d3c3f4f6g5e6c5g6e3c2b4h5e2g4f3f2g3h4f1d1e1d2b3a3e7a4b5f7h3g1c1b1c6a5d7f8h6b6d8e8c8g2c7b7g8h7h8g7a7a6h1h2a2a8a1b8b2
22,British Nationals,547,Stanton Robert,2845,Hall Steve,62,64,f5f6e6f4e3c5c4d6b5d3c3b6c6a5a4a3a6b4a2c7b3c2d2d1e2f3f1f2e1g1b1b2g4g3a1h3c1a7h1g2a8b7d8c8b8d7e7h2g5e8f8h6h5h4g6h7g7f7g8
22,British Nationals,2845,Hall Steve,2701,Lightman Marie,20,28,f5d6c4f4f6g5e6c5g6f3e3e7f7b3e8h6g4h3g3d8c8g8c6b6d7d2a6d3f2c3b5e2h4h5e1d1c1c2b4a5f1a4a3h2g7c7b1b7h7h8a8f8a7b8g2h1g1a1b2a2
171,British Regionals,2667,Burgess Andrew,2408,Beck David,16,15,f5d6c3f4f6d3f3b3c5g4g3e6e3c6e7c4b4c7b6a4c2d2d1e2c8b5g6e1g5h3c1f2a6a5a3h4f1h5h6h7g7d8f7e8d7h8h2g8f8a2a1h1b2g2g1b7a7b8b1
171,British Regionals,153,Barrass Iain,2667,Burgess Andrew,34,24,f5d6c4d3c3f4e6b3e2e3f3c5b4a5b6b5a4c6c7a6a7g3g4f1d1e1g1c8f2d7e7f6e8h4g5f8d8h5d2f7g6c1b1c2h6h7g7a3a2b8a8b7h2h8g8h3g2h1b2a1
171,British Regionals,2667,Burgess Andrew,1432,Pridmore Ben,16,25,f5d6c3d3c4f4c5b3c2e3d2c6b4b5b6e2a4f3e7d7a5e6f1d1c8a6f6d8a7c1e8c7g4g3e1g1f2h5b8g5g6h6f7f8g8b2h3a3h4a8b7h8a1g7b1a2h1g2h7h2
171,British Regionals,168,Arnold Roy,2667,Burgess Andrew,25,27,f5d6c5f4e3c6e6f6d7c7e7e8d8c8b6b5b4f3g6c4g5g3b3f8c3d3g4c2d2a5e2f7c1h6a7h3h5h4g7a4h7b2b7f1e1f2d1a8b8a6a1b1a2a3g1g2h2h1g8h8
171,British Regionals,1626,Rowe Stephen,2667,Burgess Andrew,12,39,f5d6c3d3c4f4f6f3e6e7d7g6g5f7e2c2d2d1e3c8h6h4g3g4f1h3f2c6c7b4h5c1e1c5f8b3b1h7g2h2b2h1g1a1e8a2b6b5a5b8d8g8g7h8a3a4a6b7a7a8
171,British Regionals,2315,Calladine Robert,2667,Burgess Andrew,7,2,f5d6c4d3e6f4g4c3e2f6c2c5e7g5b4c7g7e3g3f3c6f7h4g6h6e8g8d7g2f8d8c8b7h8h7b8f2a4b5h5a5a8a3h3a7a6b6h2a2b3b2a1d2b1h1e1d1c1f1g1
171,British Regionals,2667,Burgess Andrew,2758,Butler Rob,49,36,f5d6c3f4f6f3d3c4e3e2c2f2b4c5g4d2d1f1e6b3c7a3c1b5e1g3g1c6h4c8b6h5h3g6h6a5g5d7e7f8d8e8f7g8a4a2a6a7g2g7b7h2h1b8a8h8h7a1b1b2
235,Cambridge (Random),2649,Dexter Helen,168,Arnold Roy,45,45,f5f6c4e3f3g3e2c5d6c6f4d3e6c3g4h4d2f2g5f7d7c7g6e8h5f1e1g2c2e7h6c1h3h2f8g8d8c8h1g1g7h8h7d1b1b2a1a2a3b3a4b4b5a6a5b6b7a8a7b8
235,Cambridge (Random),2404,Hand David,2408,Beck David,32,26,f5f4e3f6c4c5b6b5d6b4e6d3f3d2g5e7c2c3g4g6c7c6f7h5h4h6g3d7e8c8d8f2g7h8f1e2h7h3d1g8f8e1c1a7a3b7a6b3a5a4a8b8g2b1h2b2a1a2h1g1
